기사id,카테고리,제목,날짜,요약문,원문
386,코로나19,우다다 오른 다우지수 📈,2020/11/27,이유는 크게 세 가지.,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202011252102005
386,코로나19,우다다 오른 다우지수 📈,2020/11/27,"아직 기대하기는 일러요. 그 이유: ①코로나19가 빠르게 퍼지고 있어 주가가 요동칠 수 있고 ②미국 실업률도 여전히 높기 때문. ③갑자기 너무 오른 거라 거품일 수 있다는 분석도 있고요. 실제로 3만 대 돌파한 다음 날인 어제(26일), 다우지수는 2만 대로 다시 떨어져 숨 고르는 중이라고.",https://www.yna.co.kr/view/AKR20201125044700072
386,코로나19,우다다 오른 다우지수 📈,2020/11/27,"맞아요! 뉴욕 증권시장을 평가하는 지수는 크게 3개 있어요(=3대 주가지수): 다우존스, 나스닥, 그리고 S&P500. 나스닥은 증권거래소 이름으로, 여기에 오른 모든 기업의 주가지수를 계산한 종합지수예요. IT 회사들(MS, 구글 등)이 주로 포함돼 있고요. S&P500은 다우지수처럼 몇 개만 골라 계산하는 건데, 다우지수(30개)보다 많은 기업(500개)을 골라요. 테슬라도 최근 S&P500에 포함되면서 주가에 날개를 달았다고. ",https://terms.naver.com/entry.nhn?docId=67063&cid=43667&categoryId=43667
387,세계,정치원정대 (feat. 바이든) 🇺🇸,2020/11/27,바이든의 친구 목록이 완성됐어요. 누구누구가 될지 대충 각이 나온 상황이었는데 실제로 발표했다고. 그중에서도 특히 주목받는 두 인물이 있어요. ,https://www.hankookilbo.com/News/Read/A2020112422040001417
388,경제,공시가격 UP 종합부동산세 UP,2020/11/25,최근 종합부동산세(종부세)가 많게는 2배까지 올라서 사람들이 웅성웅성하고 있어요.,https://www.yna.co.kr/view/AKR20201123122052002
388,경제,공시가격 UP 종합부동산세 UP,2020/11/25,"하지만 공시가격이 시세를 제대로 반영하지 못한다는 비판이 있었어요. 아파트 1채가 1만 원이라고 할 때, 공시가격은 평균 6900원으로 매겨졌거든요(=시세 반영률 69%. 실제로는 1만 원짜리 아파트를 재산으로 가진 건데, 세금은 6900원을 기준으로 내요). 그래서 정부는 공시가격을 시세와 맞추려 해왔던 것(=공시가 현실화). 최근 3년간 인기 폭발했던 서울의 마포·용산·성수 등 지역은 집값이 엄청 올랐으니 공시가격도 그에 맞게 20~30% 올랐고, 종부세도 더 내게 된 거죠. 전국 공동주택(아파트·빌라 등)을 살펴보면 공시가격은 약 평균 5.98% 정도 올랐고요. ",http://www.sisajournal.com/news/articleView.html?idxno=207495
388,경제,공시가격 UP 종합부동산세 UP,2020/11/25,독이 될걸 👿: 집 가지고 있을 때만 세금 내나? 다른 사람한테 팔 때도 세금 내는데(양도세) 그 부담도 커서 마음대로 팔기도 어려워. 집 많이 가진 사람이 바로 내놓지는 않을 거야. 그리고 집값이 이대로 쭉 오르기만 한다면 가지고 세금 내더라도 버티는 게 나중에 더 이득일 수도 있고!,https://www.news1.kr/articles/?4127799
388,경제,공시가격 UP 종합부동산세 UP,2020/11/25,힘이 될걸 👏: 올해는 공시가격만 올랐지만 내년엔 종부세 세율 자체도 올라. 정부가 2025년까지 공시가격을 시세의 90%까지 점차 올린다고 했고. 그럼 팍팍 오르는 세금을 내기 싫어서 집을 내놓고 집값도 좀 떨어질걸?,http://www.sisajournal.com/news/articleView.html?idxno=207495
389,세계,바이든 내각 임명 준비 완료,2020/11/25,"바이든이 이미 점 찍어둔 사람이 몇몇 있어요. 외교부 대장(=국무부장관)으론 오바마 전 대통령 시절 국무부 부장관을 지냈던 토니 블링컨이 유력해요. 또, 안보를 다루는 국가안보 보좌관엔 나라 간 연대와 동맹을 🤝 중요하게 생각하는 제이크 설리번이 임명될 것 같고요.",https://event.stibee.com/v2/click/MjY4NDcvMzg0MDIyL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cDovL25ld3Mua2hhbi5jby5rci9raF9uZXdzL2toYW5fYXJ0X3ZpZXcuaHRtbD9hcnRpZD0yMDIwMTEyNDA2MTUwMDE
389,세계,바이든 내각 임명 준비 완료,2020/11/25,"한국 🇰🇷: 미국과 더 쫀쫀한 동맹이 되어, 친하게 지낼 것 같아요. 트럼프 행정부는 ‘미국이 먼저’라는 자국 우선주의를 내세우며 다른 동맹 나라와 관계가 조금씩 틀어졌었는데요. 바이든은 이 관계를 다시 회복하는 데 힘을 쓸 것 같다고.",https://event.stibee.com/v2/click/MjY4NDcvMzg0MDIyL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly9uZXdzaXMuY29tL3ZpZXcvP2lkPU5JU1gyMDIwMTEyNF8wMDAxMjQ0NDU0
389,세계,바이든 내각 임명 준비 완료,2020/11/25,북한 🇰🇵: 찬 바람 불 수 있어요. 국무장관이 될 블링컨은 북한 김정은 국무위원장을 ‘최악의 폭군 중 한 명’이라 부를 정도로 북한 문제에서 매우 강한 입장을 내왔어요. 그렇다 보니 트럼프가 했던 것처럼 정상끼리 직접 만나 문제를 해결하는 외교 방식은 기대하기 힘들어 보여요. 그보다는 이란과 핵 협상을 했던 방식*으로 북한 핵 문제에도 접근할 수도 있을 것 같다고.,https://event.stibee.com/v2/click/MjY4NDcvMzg0MDIyL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly93d3cueW5hLmNvLmtyL3ZpZXcvQUtSMjAyMDExMjMxMTI1NTE1MDQ
389,세계,바이든 내각 임명 준비 완료,2020/11/25,"경제 압박 카드를 내들고, 핵무기 개발을 안 하겠다고 하면 경제 압박을 풀어주는 식으로 협상했어요. 그동안 미국의 민주당은 북한의 움직임을 살펴보는 ‘전략적 인내’를 해왔는데, 상황이 계속 나아지지 않다 보니 이번엔 방법을 좀 달리할 수도 있게 된 것.",https://event.stibee.com/v2/click/MjY4NDcvMzg0MDIyL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cDovL25ld25lZWsuY28vcG9zdC80MGY3Mj91dG1fbWVkaXVtPWVtYWlsJnV0bV9zb3VyY2U9bmV3c2xldHRlciZ1dG1fY2FtcGFpZ249MjAyMDExMjUmdXRtX2NvbnRlbnQ9L3Bvc3QvNDBmNzI
389,세계,바이든 내각 임명 준비 완료,2020/11/25,"놀랍게도 아직 선거가 끝난 게 아니었어요 🗳️. 몇몇 주에서는 아직 투표함을 열어보는 중이었고, 끝까지 팽팽했던 미시간 주에서는 바이든이 그저께(23일)가 되어서야 이겼거든요. 미시간 결과가 나온 뒤 미국 연방 총무청이 바이든 당선인을 ‘분명한 승자’로 공식 승인했고요. 트럼프 측은 투표수가 맞지 않는다며 손 번쩍 들었지만, 결국 공화당 선관위원들도 바이든이 이겼다고 인정했다고.",https://event.stibee.com/v2/click/MjY4NDcvMzg0MDIyL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly9uZXdzaXMuY29tL3ZpZXcvP2lkPU5JU1gyMDIwMTEyNF8wMDAxMjQ0NDc3
390,경제,주파수 빌리는 데 얼마?,2020/11/23,1. 쓰던 건데 너무 비싸 🙅: 3G·LTE 주파수가 처음 나왔을 때는 경매 가격이 높았어요. 정부는 그때 가격을 참고해 현재 가격을 매긴 건데요(4.4조 원). 통신사 입장은 달라요: “처음 나왔을 때랑은 다르지. 지금 가격은 통신사가 실제로 주파수 써서 얼마나 벌었는지 등을 보고 다시 따져야 해!”,http://www.hani.co.kr/arti/economy/marketing/970373.html
390,경제,주파수 빌리는 데 얼마?,2020/11/23,"2. 네고, 해준다는 겨 안 된다는 겨 🤷: 정부는 통신사가 노력하면 많이 깎아줄 테니(4.4조→3.2조 원) 괜찮다는 입장인데요. 네고 조건이 좀 깐깐해서(조건: 5G 통신에 필요한 무선국 많이 지을수록 3G·LTE 주파수 가격은 깎아줄게. 2년 안에 15만 개까지 가능?) 이를 두고도 말이 많아요. LTE 무선국 15만 개를 짓는 데만 8년이 걸렸는데, 장비도 복잡하고 더 비싼 5G 무선국을 2년 안에 그만큼 짓는 건 거의 불가능하다는 것.",https://news.mt.co.kr/mtview.php?no=2020112016520741604
390,경제,주파수 빌리는 데 얼마?,2020/11/23,"LTE 속도가 느려지거나 핸드폰 요금이 비싸질 수 있어요. 주파수가 너무 비싸서 통신사가 예전보다 더 적게 빌려 쓸 경우 3G·LTE 서비스 품질이 떨어질 수 있는 것. 또 주파수 빌리고 5G 무선국을 짓는 데 돈이 너무 많이 들면, 소비자로부터 요금을 더 받을 수도 있고요. ",https://www.mk.co.kr/news/business/view/2020/11/1183101/
391,세계,"호주 특수부대, 아프간 민간인 학살",2020/11/23,"호주 특수부대가 아프가니스탄에서 포로와 민간인 등 39명을 살해하고, 이를 숨기기 위해 조직적으로 움직였다는 의혹이 있었는데요. 조사 결과, 사실로 밝혀졌어요.",https://event.stibee.com/v2/click/MjY4NDcvMzgyNjkxL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly93d3cueW5hLmNvLmtyL3ZpZXcvQUtSMjAyMDExMTkxMzkzMDAwMDk
391,세계,"호주 특수부대, 아프간 민간인 학살",2020/11/23,"2014년, 전직 법무관인 데이비드 맥브라이드가 숨겨져 있던 비밀문서를 현지 방송사에 제보하면서 알려졌어요. 그는 비밀을 누설한 혐의로 재판에 넘겨졌지만, 그가 입을 연 덕분에 조사가 시작된 거라고. 호주 국방부는 제보를 받은 후 4년간 증인 423명을 인터뷰하고 2만 개의 문서 등을 조사해서 보고서를 냈어요. ",https://event.stibee.com/v2/click/MjY4NDcvMzgyNjkxL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cDovL3d3dy5zZWd5ZS5jb20vbmV3c1ZpZXcvMjAyMDExMTk1MTY1Mjc
391,세계,"호주 특수부대, 아프간 민간인 학살",2020/11/23,"아직 몰라요. 아프가니스탄은 전쟁과 테러에 오래도록 시달리고 있고, 여러 나라 부대가 파병되어 있는데요. 다른 부대가 또 다른 전쟁범죄를 저지르지 않았는지 국제형사재판소(ICC)가 조사 중이에요. 2016년 국제형사재판소의 보고서에 따르면, CIA*가 운영하는 비밀 수용소에서 미군이 누군가를 고문한 것으로 보이는 정황이 드러났어요. 무장 이슬람 극단주의 단체 탈레반도 민간인을 대량 학살한 거로 보이고요.",https://event.stibee.com/v2/click/MjY4NDcvMzgyNjkxL25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly93d3cuYmJjLmNvbS9rb3JlYW4vbmV3cy00Mzg2MTYyMQ
392,경제,전세난 어떡하지? 임대주택 늘려볼게! 🏠,2020/11/20,"하늘의 별 따기보다 어려운 것은? 전셋집 구하기! 전셋집을 못 구하는 사람이 많아지자 정부가 다시 대책을 발표했어요: “임대주택* 수를 늘려, 더 많은 사람한테 빌려주겠다!”",https://www.yna.co.kr/view/AKR20201119023151003
392,경제,전세난 어떡하지? 임대주택 늘려볼게! 🏠,2020/11/20,비판도 만만찮아서 어떻게 될지는 더 지켜봐야 해요.,https://www.mk.co.kr/news/realestate/view/2020/11/1191938/
392,경제,전세난 어떡하지? 임대주택 늘려볼게! 🏠,2020/11/20,"호텔 전·월세, 문제 많아: 올해 초 서울시가 종로구 베니키아호텔을 리모델링해 청년 주택으로 공급했다가, 당첨자들이 무더기로 입주 안 한다고 한 거 기억 안 나? 밥 해 먹을 만한 시설도 안 돼 있고 월세도 비싸서 그랬잖아. 비슷한 일이 또 일어날 수도 있어.",https://news.mt.co.kr/mtview.php?no=2020111812414013045
392,경제,전세난 어떡하지? 임대주택 늘려볼게! 🏠,2020/11/20,"전세가 얼마나 모자란 건지 상황을 보여주는 ‘전세수급지수’라는 게 있어요. 수요와 공급이 균형을 이루는 상태를 100으로 보고, 수치가 높아질수록 전세가 모자란 건데요. 일부 지역에선 200(=최대치) 가까이 올랐어요. 최근 서울 평균은 131.1이고요. 전셋집은 없는데 찾는 사람이 많으니, 전국 전셋값은 약 7년 만에 가장 큰 폭으로 올랐다고.",https://www.newspim.com/news/view/20201116001334
393,여성,“저 혼자 아이 낳았어요”,2020/11/20,"방송인 사유리 씨가 일본에서 배우자 없이 아이를 낳았다는 소식이 알려지며, 여성이 원할 때 아이를 낳는 ‘비혼 출산’을 둘러싼 논의에 불이 붙었어요.",https://www.hankookilbo.com/News/Read/A2020111706580005564
393,여성,“저 혼자 아이 낳았어요”,2020/11/20,"엄밀히 따져보면 불법은 아니에요. 여성이 결혼하지 않고 아이를 가지려면 ①정자 기증을 받고 ②인공수정, 체외수정 등(=보조생식술)을 받으면 돼요. 그런데 이게 불법 아닌 불법 같다고. 정자를 구하기 쉽지 않고, 병원에서는 윤리지침에 따라* 부부나 사실혼 부부에게만 시술해주고 있거든요. 그래서 우리나라에서 배우자 없이 출산하는 건 거의 불가능하다고.",http://www.hani.co.kr/arti/society/women/970460.html
393,여성,“저 혼자 아이 낳았어요”,2020/11/20,"현재 우리나라에선 여성이 배우자 없이 출산하면 정부 지원을 받기 어려운데요. 이번 계기로 정치권에서도 정자 기증과 비혼 출산을 둘러싼 법률이나 제도를 다시 한번 살펴보고 있어요. 다양한 가족 형태에 대한 이야기도 나왔고요: “임신·출산에 대한 결정권을 인정하고, 더 다양한 형태의 가족을 받아들여야 한다!” 정부는 고민 중이지만, 아직은 좀 더 신중해야 한다는 입장이에요. ",https://newsis.com/view/?id=NISX20201118_0001239141
393,여성,“저 혼자 아이 낳았어요”,2020/11/20,"덴마크, 스페인 등 많은 유럽 나라에서는 비혼 여성이나 동성 커플이 인공수정을 통해 아이를 낳을 수 있어요. 프랑스는 금지하고 있는데, 작년 마크롱 대통령이 ‘모든 여성을 위한 인공생식 법’을 공약으로 내세우며 변화가 필요하다는 목소리가 커지고 있어요(“배우자 없이 출산을 허용하고, 의료보험 혜택도 줘야 한다!”).",http://news.kbs.co.kr/news/view.do?ncd=5049398
394,국내정치,김해 신공항 백지화 ✈️: 그래서 종착지는?,2020/11/20,"수도권에 인천국제공항이 있다면, 경상도에는 김해공항이 있는데요. 이용하는 사람이 많아지면서 공항이 더 필요해졌어요. 이를 어디에 지을 것인가를 두고 지역 간에 갈등이 심했고요(부산: 가덕도에 만들자 vs. 대구·경북: 밀양에 만들자). 결국 2016년에 둘 다 아닌 기존의 김해공항을 넓히기로 결정이 났어요. 그런데 안전성 등을 이유로 4년 만에 또 엎어진 거예요 🛑.",http://www.hani.co.kr/arti/politics/politics_general/970294.html
394,국내정치,김해 신공항 백지화 ✈️: 그래서 종착지는?,2020/11/20,"아직 정해지지 않았어요. 국토교통부는 새 후보지를 찾겠다고 했는데, 여당·야당은 모두 부산 가덕도에 짓기 위한 특별법을 준비 중이라고. 이를 두고 부산시장 보궐선거를 앞두고 부산 표심을 의식한 것 아니냐는 분석이 있어요. 가덕도는 2016년 프랑스 전문기관 평가에서 후보 중 꼴찌를 했던 곳이거든요. 김해공항을 넓히는 것보다 약 6조 원이 더 든다고.",https://www.hankyung.com/economy/article/202011183702i
394,국내정치,김해 신공항 백지화 ✈️: 그래서 종착지는?,2020/11/20,경상도 지역의 새로운 공항 계획은 정부가 바뀔 때마다 바뀌었어요.,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11979514
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,뉴스와 주식시장을 뜨겁게 달군 소식 가져왔어요. 바로 우리나라 1위 항공사 대한항공이 2위인 아시아나항공을 인수하기로 했다는 것. 인수 과정이 끝나면 대한항공은 세계 10위권 항공사가 될 것으로 보여요.,https://www.donga.com/news/article/all/20201117/104000746/1
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,"사느냐 마느냐, 그것이 진짜 문제예요.",http://www.bloter.net/archives/475135
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,마일리지: 두 항공사의 마일리지는 통합될 텐데요. 아시아나 마일리지가 조금 더 짜게 평가될 것이라는 분석이 있어요. ,https://news.joins.com/article/23921964
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,"독과점: 두 회사 소속 저비용항공사까지 다 합치면, 국내 항공사 시장의 60% 이상을 차지해 독과점 아니냐는 지적이 있어요. 공정거래위원회에서 심사하지만 정부에서 주도한 거라 크게 반대를 할 것 같진 않다고. ",https://www.donga.com/news/google/donga/article/all/20201117/104000713/1
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,"일자리: 두 회사의 노동조합은 “이 합체 반댈세”라고 의견을 냈어요. 노선도, 직군도 겹칠 테니 아시아나에서 해고당하는 사람이 있을 수 있다는 것. 정부는 구조조정은 없을 거라고 약속했어요.",https://biz.chosun.com/site/data/html_dir/2020/11/16/2020111601877.html
395,코로나19,대한항공이 아시아나항공 인수한다✈️,2020/11/18,아시아나항공을 사실상 정부가 관리하고 있기 때문. 항공사같이 나라에서 꼭 필요한 회사가 어려울 땐 산업은행이 돈을 빌려주는데요. 산업은행은 사실상 정부 소유의 ‘국책은행’이에요(지분 100%) 🏦. 즉 아시아나에 정부가 돈을 많이 빌려준 상황이라 정부는 빚을 갚게 하기 위해 여러 결정을 대신 할 수 있어요. 이번에 대한항공이 아시아나를 인수하기 위해 쓰는 비용 중 8000억 원도 산업은행에서 나왔고요(정부 입장에선 두 회사에 내년 말까지 지원한다던 4조 8000억 원보다 비용을 아끼는 것).,http://www.hani.co.kr/arti/economy/marketing/961857.html
396,여성,새로운 한부모가족 지원 대책,2020/11/18,"당근마켓에 갓난아이를 판매한다고 글을 올리거나 베이비박스 앞에 버려진 아이가 숨졌다는 소식, 이야기만 들어도 마음 아픈데요. 개인을 탓할 게 아니라 국가 차원에서 해결할 일이라며, 관계 부처가 대책을 내놓았어요.",https://www.hankookilbo.com/News/Read/A2020101909350005423?did=NA
396,여성,새로운 한부모가족 지원 대책,2020/11/18,"지난 16일 발표한 ‘미혼모 등 한부모가족 지원 대책’, 어떤 내용이냐면: ",https://news.joins.com/article/23921656
397,세계,꺼지지 않는 남미 판타나우의 불,2020/11/18,세계적인 열대 늪지 판타나우에 몇개월째 불이 꺼지지 않고 있어 피해가 심각해요.,https://www.worldatlas.com/news/the-world-s-largest-wetland-is-burning-and-so-are-its-jaguars.html
397,세계,꺼지지 않는 남미 판타나우의 불,2020/11/18,"남미에 있는 숲 지역이에요. 한반도와 맞먹을 정도로 큰데요, 80%는 브라질에 속하고 나머지는 볼리비아와 파라과이에 걸쳐 있어요(지도). 잘 알려진 ‘아마존’ 열대우림보다 더 많은 야생동물이 있어 2000년 생물권 보전지역&유네스코 세계문화유산으로 지정됐어요. 하지만 실제로 보호받는 곳은 5%도 안되고, 나머지는 개인이 농장이나 목초지로 땅을 쓰며 환경 문제가 심각해졌다고.",https://upload.wikimedia.org/wikipedia/commons/8/88/Pantanal_55.76W_15.40S.jpg?1605593404495
398,NULL,법무부 비밀번호 공개법 🔒,2020/11/16,"피의자*가 비밀번호를 안 밝히면 처벌하자는 것. 지난 8월, 논란이 됐던 검언유착 의혹 수사 기억하세요? 최근에 별로 진전이 없다는데, 추미애 법무부장관은 피의자인 한동훈 검사장이 핸드폰 비밀번호를 안 알려줬기 때문이라고 봤어요. 최근 텔레그램 성착취 사건 등에서도 증거물을 압수해도 비밀번호를 풀지 못해 수사가 늦어지는 경우도 많았고요. 그래서 법무부는 비밀번호를 밝히도록 강제하는 게 필요하다고 한 건데, 많은 사람이 이 법안을 비판하고 있어요.",https://news.joins.com/article/23919408
398,NULL,법무부 비밀번호 공개법 🔒,2020/11/16,크게 3가지 지점에서 비판받아요. ,http://news.kbs.co.kr/news/view.do?ncd=5047734
398,NULL,법무부 비밀번호 공개법 🔒,2020/11/16,"일단 법무부는 한발 물러섰어요. 법원 허락이 있을 때만 비밀번호를 밝히게 하고, 아동 성범죄 등 특정 범죄에만 적용하도록 하겠다는 건데요. 어떤 방향으로 법이 만들어질지는 지켜봐야 해요. ",https://www.yna.co.kr/view/AKR20201113129700004
399,세계,재판스토리 in 하버드 시즌2,2020/11/16,"입학 과정에서 인종 차별을 한다며 소송 당한 미국 하버드대학, 이번에도 ‘죄 없다’ 판결이 나왔어요.",https://www.yna.co.kr/view/AKR20201113000651072
399,세계,재판스토리 in 하버드 시즌2,2020/11/16,"지금까지는 하버드의 압승. 재판부 입장은 하버드가 입학 과정에서 학생들의 인종을 고려하는 것은 차별이 아니라는 거예요. 하지만 SFFA는 대법원까지 가보겠다고 해서, 좀 더 지켜봐야 할 것 같아요 ⚖️.",https://news.joins.com/article/23919548
399,세계,재판스토리 in 하버드 시즌2,2020/11/16,"SFFA가 소수자인 아시아계 학생들을 이용하는 게 아니냐는 시선도 있어요. SFFA(=Students for Fair Admission)는 아시아계 학생뿐만 아니라 소수집단 우대정책으로 피해를 봤다는 대학생들의 소송을 대신 해주고 있는데, 이런 게 좀 수상하다는 것. SFFA를 이끄는 ‘에드워드 블럼’은 미국의 보수주의자로서, 소수집단을 우대하자는 AA 정책을 폐지하자고 주장하는 사람이에요. 이 때문에 ‘소수 인종 지원에 소극적인 트럼프 정부와 법무부가 SFFA&아시아계 학생들을 지지하고 vs. 시민·인권 단체는 하버드를 응원하는’ 구조도 생겼고요. 그래서 만약 대법원까지 가면, 미국의 대법관 구도(보수 6, 진보 3)가 소송 결과를 뒤집을 수 있을지도 모른다고.",http://news.kbs.co.kr/news/view.do?ncd=4032524
400,코로나19,신용대출 1억 원 제한 규제,2020/11/16,"영혼까지 끌어모으는 소위 ‘영끌’ 대출을 받아 주식이나 부동산에 투자하는 사람들이 많아서 이를 걱정한 정부가 대책을 내놨습니다: “신용을 걸고 1억 원 넘게 돈을 빌린 사람이 1년 안에 서울처럼 투자가 몰리는 동네에서 집을 사면, 대출금을 도로 가져가겠다! 11월 30일부터야!”",https://event.stibee.com/v2/click/MjY4NDcvMzc2NDQ1L25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cDovL3d3dy5oYW5pLmNvLmtyL2FydGkvZWNvbm9teS9lY29ub215X2dlbmVyYWwvOTY5OTE3Lmh0bWw
400,코로나19,신용대출 1억 원 제한 규제,2020/11/16,"코로나19 때문에 힘든 사람들 맘 편히 대출해서 쓰라고, 정부는 이자율을 팍팍 낮췄는데요. 이미 돈이 있는 사람들도 돈을 싸게 빌려 주식·부동산 등에 투자하는데 써서 문제예요. 가뜩이나 경제가 바짝 얼어붙은 시기에, 투자했던 주식이나 부동산 가격이 갑자기 떨어지면 개인이 파산 위험에 처할 수 있거든요. 그 손해가 금융기관에 쇼크를 주고 나아가서는 국가도 휘청하게 할 수 있고요.",https://event.stibee.com/v2/click/MjY4NDcvMzc2NDQ1L25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cDovL25ld25lZWsuY28vcG9zdC9lODEzZj91dG1fbWVkaXVtPWVtYWlsJnV0bV9zb3VyY2U9bmV3c2xldHRlciZ1dG1fY2FtcGFpZ249MjAyMDExMTYmdXRtX2NvbnRlbnQ9L3Bvc3QvZTgxM2Y
400,코로나19,신용대출 1억 원 제한 규제,2020/11/16,"진짜 필요한 ‘영끌’도 못해: 은행권에서는 집 없는 사람들이 집 사는 일이 더 힘들어질 수 있다는 걱정이 나와요. 신혼부부는 보통 1인당 1억~2억 원씩 ‘영끌’해 집을 마련하는 경우가 많았는데, 이런 일이 어려워질 수 있다는 것.",https://event.stibee.com/v2/click/MjY4NDcvMzc2NDQ1L25vaXJfbmRAbmF2ZXIuY29tLw/aHR0cHM6Ly93d3cueW5hLmNvLmtyL3ZpZXcvQUtSMjAyMDExMTQwNDg1MDAwMDI
401,노동·일,국회 중대재해기업처벌법 논의 시작 ⛑️,2020/11/13,"국회에서 정의당과 국민의힘, 더불어민주당이 함께 각 잡고 논의해보려는 법안이 있어요. 그 주인공은 바로 중대재해기업처벌법 ⚖️.",http://www.hani.co.kr/arti/politics/assembly/969644.html
401,노동·일,국회 중대재해기업처벌법 논의 시작 ⛑️,2020/11/13,"한마디로 기업이 중대한 사고(=산업재해)를 냈을 때 강하게 처벌하는 법이에요. 세월호 참사나 가습기살균제 사건처럼 기업이 안전조치를 지키지 않아 소비자·노동자가 죽거나 다쳤을 경우에 책임을 무겁게 묻는 것. 사고가 발생하기 전에 제대로 관리하게 하자는 취지도 있어요. 사고를 낸 회사 대표와 책임자가 징역을 살거나 벌금을 내고, 회사는 손해 금액의 몇 배 이상을 벌금으로 내야 해요(=징벌적 손해배상).",http://www.hani.co.kr/arti/politics/assembly/967346.html
401,노동·일,국회 중대재해기업처벌법 논의 시작 ⛑️,2020/11/13,"국회에서 조만간 본격적으로 논의를 할 것 같아요. 발의된 법안들 사이에 차이가 있어 내용을 조율해야 하고, 반대 의견도 있기 때문 🏓. 우선 정의당의 대표법안과 민주당 박주민 의원의 법안이 비교돼요. 큰틀에서는 비슷한데, 50인 미만 회사에 유예기간을 준 것에서 차이가 나요.",https://www.fnnews.com/news/202011111600153887
401,노동·일,국회 중대재해기업처벌법 논의 시작 ⛑️,2020/11/13,+ 중대재해기업처벌법을 국회의원만 만들자고 한 건 아니에요. 올해 전태일 사망 50주기를 맞아 여러 노동단체에서 노동 관련 법안 3개를 고치자고 요구해왔는데요. 중대재해처벌법도 그중 하나고요. 지난 9월 국회 국민청원에서 10만 명 이상 동의를 받아 국회에서 심사하게 된 거예요.,http://news.khan.co.kr/kh_news/khan_art_view.html?art_id=202011120600025
402,세계,미국 추기경 성학대 보고서 공개,2020/11/13,최근 교황청에서 보고서가 하나 나왔어요. 무슨 내용이냐면: 1978년부터 2013년까지 교황 자리에 있었던 두 명의 사제가 한 추기경의 미성년자 성학대 문제를 알고도 그냥 내버려뒀다는 것.,http://www.hani.co.kr/arti/international/international_general/969596.html
402,세계,미국 추기경 성학대 보고서 공개,2020/11/13,"지난 2018년, 매캐릭 전 추기경(=교황 다음으로 높은 사제)가 50여 년 전 16세 소년을 성적으로 학대했다는 의혹을 받았어요. 수많은 성인 신학도도 별장으로 불러 성추행하고, 이 중 일부와는 돈을 주고 합의했다는 사실도 보도됐고요(뉴욕타임스). 이런 소문은 1980년대부터 40년 넘게 무성했지만, 수면 위로 드러나지 않다가 피해 남성이 직접 증언에 나서면서 세상에 알려졌어요. 매캐릭 추기경은 ‘기억이 안 난다’고 했지만, 교황청은 지난 2019년 그를 사제 자리에서 쫓아냈어요. 이는 약 100년 만에 처음 있는 일이라고.",https://www.nytimes.com/2018/07/28/world/europe/cardinal-theodore-mccarrick-resigns.html
402,세계,미국 추기경 성학대 보고서 공개,2020/11/13,"맞아요. 전대 교황이었던 요한 바오로 2세와 베네딕토 16세는 이 문제를 알면서도 별다른 조치를 취하지 않았어요. 이 내용은 450쪽 분량의 보고서로 공개됐고, 피해자·사제·신학생 등 관련자 90여 명의 인터뷰를 포함해 교황청이 지난 2년간 조사한 내용이 샅샅이 담겼어요. 이번 발표엔 교황청이 성 학대 사건과 관련해 사실관계 확인 및 진상 규명을 소홀히 한 책임을 인정했다는 의미가 있어요. 가톨릭을 비롯한 종교계 내 성추문은 오랫동안 문제제기 되어 왔지만 제대로 처리되지 않았다는 지적을 받아왔거든요.",http://www.hani.co.kr/arti/society/religious/833834.html
402,세계,미국 추기경 성학대 보고서 공개,2020/11/13,"2015년 개봉한 영화 <스포트라이트>(영상)도 보스턴의 가톨릭 사제 성범죄 사건을 다뤘어요. 이 영화는 2016년 아카데미에서 최고 작품상을 받기도 했는데요. 실화 기반 영화로, 이 사건을 실제 기사로 보도한 ‘보스턴 글로브’의 스포트라이트 팀은 퓰리처상을 수상한 바 있어요.",https://youtu.be/yXymzwz0V2g
403,테크,서울에 뜬 드론택시 🚁,2020/11/13,"그제(11일) 오후, 서울 여의도에 ‘드론택시’가 떴어요 🛩️. 사람을 태울 수 있는 드론택시가 하늘을 난 건 우리나라에서 처음이라고. ",http://www.hani.co.kr/arti/area/area_general/969533.html#cb
